function,type,api-define,api-find
Android: Load images  % Bitmap  https://developer.android.com/reference/android/graphics/BitmapFactory,SOURCE,"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String, android.graphics.BitmapFactory$Options)>",<Landroid/graphics/BitmapFactory;->decodeFile(Ljava/lang/String; Landroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;>
,SOURCE,<android.graphics.BitmapFactory: android.graphics.Bitmap decodeFile(java.lang.String)>,<Landroid/graphics/BitmapFactory;->decodeFile(Ljava/lang/String;)Landroid/graphics/Bitmap;>
,SOURCE,"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResourceStream(android.content.res.Resources, android.util.TypedValue, java.io.InputStream, android.graphics.Rect, android.graphics.BitmapFactory$Options)>",<Landroid/graphics/BitmapFactory;->decodeResourceStream(Landroid/content/res/Resources; Landroid/util/TypedValue; Ljava/io/InputStream; Landroid/graphics/Rect; Landroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;>
,SOURCE,<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResourceStream(java.io.InputStream)>,<Landroid/graphics/BitmapFactory;->decodeResourceStream(Ljava/io/InputStream;)Landroid/graphics/Bitmap;>
,SOURCE,"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResourceStream(java.io.InputStream, android.graphics.Rect, android.graphics.BitmapFactory$Options)>",<Landroid/graphics/BitmapFactory;->decodeResourceStream(Ljava/io/InputStream; Landroid/graphics/Rect; Landroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;>
,SOURCE,"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources, int, android.graphics.BitmapFactory$Options)>",<Landroid/graphics/BitmapFactory;->decodeResource(Landroid/content/res/Resources; I Landroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;>
,SOURCE,"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeResource(android.content.res.Resources, int)>",<Landroid/graphics/BitmapFactory;->decodeResource(Landroid/content/res/Resources; I)Landroid/graphics/Bitmap;>
,SOURCE,"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeByteArray(byte[], int, int, android.graphics.BitmapFactory$Options)>",<Landroid/graphics/BitmapFactory;->decodeByteArray([B I I Landroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;>
,SOURCE,"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeByteArray(byte[], int, int)> ",<Landroid/graphics/BitmapFactory;->decodeByteArray([B I I)Landroid/graphics/Bitmap;>
,SOURCE,"<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream, android.graphics.Rect, android.graphics.BitmapFactory$Options)>",<Landroid/graphics/BitmapFactory;->decodeStream(Ljava/io/InputStream; Landroid/graphics/Rect; Landroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;>
